Function,Raw Force, Resting Force offset, Compensated Force, External Analog Input, Position, milliseconds
Seeking initial Contact,00001851,00001852,-0000001,00000000,30.0004749298,1468387163947 
Seeking initial Contact,00001860,00001852,00000008,00000000,30.0019645691,1468387163953 
Seeking initial Contact,00001859,00001852,00000007,00000000,30.0042457581,1468387163958 
Seeking initial Contact,00001858,00001852,00000006,00000000,30.0075206757,1468387163964 
Seeking initial Contact,00001850,00001852,-0000002,00000000,30.0117855072,1468387163970 
Seeking initial Contact,00001860,00001852,00000008,00000000,30.0177402496,1468387163976 
Seeking initial Contact,00001838,00001852,-0000014,00000000,30.0238914490,1468387163982 
Seeking initial Contact,00001862,00001852,00000010,00000000,30.0309352875,1468387163987 
Seeking initial Contact,00001866,00001852,00000014,00000000,30.0388736725,1468387163993 
Seeking initial Contact,00001861,00001852,00000009,00000000,30.0475044250,1468387163998 
Seeking initial Contact,00001833,00001852,-0000019,00000000,30.0572280884,1468387164004 
Seeking initial Contact,00001861,00001852,00000009,00000000,30.0678443909,1468387164010 
Seeking initial Contact,00001866,00001852,00000014,00000000,30.0807437897,1468387164016 
Seeking initial Contact,00001871,00001852,00000019,00000000,30.0936412811,1468387164022 
Seeking initial Contact,00001867,00001852,00000015,00000000,30.1073341370,1468387164027 
Seeking initial Contact,00001865,00001852,00000013,00000000,30.1216220856,1468387164033 
Seeking initial Contact,00001857,00001852,00000005,00000000,30.1355113983,1468387164039 
Seeking initial Contact,00001844,00001852,-0000008,00000000,30.1512870789,1468387164045 
Seeking initial Contact,00001827,00001852,-0000025,00000000,30.1658725739,1468387164051 
Seeking initial Contact,00001828,00001852,-0000024,00000000,30.1797637939,1468387164057 
Seeking initial Contact,00001867,00001852,00000015,00000000,30.1936550140,1468387164062 
Seeking initial Contact,00001867,00001852,00000015,00000000,30.2080402374,1468387164069 
Seeking initial Contact,00001874,00001852,00000022,00000000,30.2235183716,1468387164074 
Seeking initial Contact,00001847,00001852,-0000005,00000000,30.2377071381,1468387164080 
